transaction_date,bank_id,bank_name,total_volume,transaction_count,avg_transaction_value,unique_customers,avg_value_per_customer,data_quality_score,day_of_week,day_name,month,month_name,quarter,year,week_number,is_weekend,transfer_volume,deposit_volume,withdrawal_volume,payment_volume,volatility_score,market_segment,volume_7day_avg,volume_7day_std,anomaly_status,z_score
2025-03-13,BNK001,Premier Bank,107450.71,818,131.36,637,168.68,77.7,4,Thursday,3,March,Q1,2025,11,False,37607.75,26862.68,21490.14,21490.14,15.0,Large,107450.71,,Normal,0.0
2025-03-13,BNK002,Community First Bank,72926.04,867,84.11,745,97.89,96.8,4,Thursday,3,March,Q1,2025,11,False,25524.11,18231.51,14585.21,14585.21,20.0,Medium,72926.04,,Normal,0.0
2025-03-13,BNK003,Metro Financial,83726.52,901,92.93,622,134.61,96.2,4,Thursday,3,March,Q1,2025,11,False,29304.28,20931.63,16745.3,16745.3,12.0,Large,83726.52,,Normal,0.0
2025-03-13,BNK004,Regional Trust Bank,52122.45,472,110.43,324,160.87,96.9,4,Thursday,3,March,Q1,2025,11,False,18242.86,13030.61,10424.49,10424.49,25.0,Medium,52122.45,,Normal,0.0
2025-03-13,BNK005,Digital Banking Corp,101524.69,960,105.75,707,143.6,98.3,4,Thursday,3,March,Q1,2025,11,False,25381.17,25381.17,20304.94,30457.41,18.0,Large,101524.69,,Normal,0.0
2025-03-13,BNK006,Heritage Bank,37030.37,394,93.99,297,124.68,96.7,4,Thursday,3,March,Q1,2025,11,False,12960.63,12960.63,7406.07,3703.04,10.0,Small,37030.37,,Normal,0.0
2025-03-13,BNK007,Innovation Bank,82151.06,893,91.99,553,148.56,91.4,4,Thursday,3,March,Q1,2025,11,False,28752.87,20537.76,16430.21,16430.21,22.0,Large,82151.06,,Normal,0.0
2025-03-14,BNK001,Premier Bank,110722.16,810,136.69,560,197.72,86.6,5,Friday,3,March,Q1,2025,11,False,38752.76,27680.54,22144.43,22144.43,15.0,Large,109086.435,2313.2644793127342,Normal,0.707106781186549
2025-03-14,BNK002,Community First Bank,71612.06,624,114.76,380,188.45,99.3,5,Friday,3,March,Q1,2025,11,False,25064.22,17903.02,14322.41,14322.41,20.0,Medium,72269.04999999999,929.1241683434916,Normal,0.7071067811865437
2025-03-14,BNK003,Metro Financial,105903.65,1079,98.15,861,123.0,94.5,5,Friday,3,March,Q1,2025,11,False,37066.28,26475.91,21180.73,21180.73,12.0,Large,94815.08499999999,15681.599010255617,Normal,0.7071067811865478
2025-03-14,BNK004,Regional Trust Bank,122009.63,1312,93.0,1168,104.46,91.0,5,Friday,3,March,Q1,2025,11,False,42703.37,30502.41,24401.93,24401.93,25.0,Medium,87066.04000000001,49417.69889600486,Normal,0.7071067811865475
2025-03-14,BNK005,Digital Banking Corp,160360.88,1124,142.67,876,183.06,99.4,5,Friday,3,March,Q1,2025,11,False,40090.22,40090.22,32072.18,48108.26,18.0,Large,130942.785,41603.46892818014,Normal,0.7071067811865475
2025-03-14,BNK006,Heritage Bank,47444.89,442,107.34,301,157.62,98.6,5,Friday,3,March,Q1,2025,11,False,16605.71,16605.71,9488.98,4744.49,10.0,Small,42237.630000000005,7364.177714802918,Normal,0.7071067811865474
2025-03-14,BNK007,Innovation Bank,89640.69,853,105.09,583,153.76,96.3,5,Friday,3,March,Q1,2025,11,False,31374.24,22410.17,17928.14,17928.14,22.0,Large,85895.875,5295.968161578206,Normal,0.7071067811865475
2025-03-15,BNK001,Premier Bank,62916.76,738,85.25,661,95.18,98.2,6,Saturday,3,March,Q1,2025,11,True,22020.86,15729.19,12583.35,12583.35,15.0,Large,93696.54333333333,26706.214497955963,Normal,1.1525326187913736
2025-03-15,BNK002,Community First Bank,41534.26,442,93.97,265,156.73,98.5,6,Saturday,3,March,Q1,2025,11,True,14536.99,10383.56,8306.85,8306.85,20.0,Medium,62024.119999999995,17756.897476045746,Normal,1.153909911776032
2025-03-15,BNK003,Metro Financial,60680.88,452,134.25,281,215.95,77.0,6,Saturday,3,March,Q1,2025,11,True,21238.31,15170.22,12136.18,12136.18,12.0,Large,83437.01666666666,22612.774945884754,Normal,1.0063398552864473
2025-03-15,BNK004,Regional Trust Bank,44381.52,316,140.45,248,178.96,94.6,6,Saturday,3,March,Q1,2025,11,True,15533.53,11095.38,8876.3,8876.3,25.0,Medium,72837.86666666667,42759.527959254105,Normal,0.6654972125460074
2025-03-15,BNK005,Digital Banking Corp,63888.54,621,102.88,508,125.76,97.1,6,Saturday,3,March,Q1,2025,11,True,15972.14,15972.14,12777.71,19166.56,18.0,Large,108591.37,48622.850296292796,Normal,0.919379051774929
2025-03-15,BNK006,Heritage Bank,23015.08,161,142.95,119,193.4,93.0,6,Saturday,3,March,Q1,2025,11,True,8055.28,8055.28,4603.02,2301.51,10.0,Small,35830.113333333335,12259.052418863103,Normal,1.0453526826930553
2025-03-15,BNK007,Innovation Bank,58274.49,488,119.41,405,143.89,96.0,6,Saturday,3,March,Q1,2025,11,True,20396.07,14568.62,11654.9,11654.9,22.0,Large,76688.74666666666,16381.003504780576,Normal,1.1241226254113619
2025-03-16,BNK001,Premier Bank,33580.18,288,116.6,209,160.67,92.2,7,Sunday,3,March,Q1,2025,11,True,11753.06,8395.04,6716.04,6716.04,15.0,Large,78667.4525,37134.56000789864,Normal,1.2141593300259863
2025-03-16,BNK002,Community First Bank,16115.62,139,115.94,121,133.19,82.0,7,Sunday,3,March,Q1,2025,11,True,5640.47,4028.91,3223.12,3223.12,20.0,Medium,50546.994999999995,27149.63225740574,Normal,1.2682077854151403
