transaction_date,bank_id,bank_name,high_value_customers,medium_value_customers,regular_customers,high_value_volume,medium_value_volume,regular_value_volume,avg_high_value,avg_medium_value,avg_regular_value,customer_retention_rate,new_customers
2025-03-13,BNK001,Premier Bank,95,222,320,64470.43,26862.68,16117.61,678.64,121.0,50.37,95.0,39
2025-03-13,BNK002,Community First Bank,111,260,374,43755.62,18231.51,10938.91,394.19,70.12,29.25,93.4,99
2025-03-13,BNK003,Metro Financial,93,217,312,50235.91,20931.63,12558.98,540.17,96.46,40.25,92.5,71
2025-03-13,BNK004,Regional Trust Bank,48,113,163,31273.47,13030.61,7818.37,651.53,115.32,47.97,91.0,33
2025-03-13,BNK005,Digital Banking Corp,106,247,354,60914.81,25381.17,15228.7,574.67,102.76,43.02,85.4,80
2025-03-13,BNK006,Heritage Bank,44,103,150,22218.22,9257.59,5554.56,504.96,89.88,37.03,86.1,27
2025-03-13,BNK007,Innovation Bank,82,193,278,49290.64,20537.76,12322.66,601.11,106.41,44.33,88.8,57
2025-03-14,BNK001,Premier Bank,84,196,280,66433.3,27680.54,16608.32,790.87,141.23,59.32,86.7,66
2025-03-14,BNK002,Community First Bank,57,133,190,42967.24,17903.01,10741.81,753.81,134.61,56.54,95.3,25
2025-03-14,BNK003,Metro Financial,129,301,431,63542.19,26475.91,15885.55,492.58,87.96,36.86,86.4,55
2025-03-14,BNK004,Regional Trust Bank,175,408,585,73205.78,30502.41,18301.44,418.32,74.76,31.28,96.4,120
2025-03-14,BNK005,Digital Banking Corp,131,306,439,96216.53,40090.22,24054.13,734.48,131.01,54.79,91.1,53
2025-03-14,BNK006,Heritage Bank,45,105,151,28466.93,11861.22,7116.73,632.6,112.96,47.13,93.4,41
2025-03-14,BNK007,Innovation Bank,87,204,292,53784.41,22410.17,13446.1,618.21,109.85,46.05,95.8,65
2025-03-15,BNK001,Premier Bank,99,231,331,37750.06,15729.19,9437.51,381.31,68.09,28.51,86.0,40
2025-03-15,BNK002,Community First Bank,39,92,134,24920.56,10383.57,6230.14,638.99,112.86,46.49,85.6,20
2025-03-15,BNK003,Metro Financial,42,98,141,36408.53,15170.22,9102.13,866.87,154.8,64.55,86.8,21
2025-03-15,BNK004,Regional Trust Bank,37,86,125,26628.91,11095.38,6657.23,719.7,129.02,53.26,90.0,35
2025-03-15,BNK005,Digital Banking Corp,76,177,255,38333.12,15972.14,9583.28,504.38,90.24,37.58,92.9,67
2025-03-15,BNK006,Heritage Bank,17,41,61,13809.05,5753.77,3452.26,812.3,140.34,56.59,94.2,7
