transaction_date,bank_id,bank_name,total_volume,transaction_count,avg_transaction_value,unique_customers,avg_value_per_customer,data_quality_score,day_of_week,day_name,month,month_name,quarter,year,week_number,is_weekend,transfer_volume,deposit_volume,withdrawal_volume,payment_volume,volatility_score,market_segment
2025-03-13,BNK001,Premier Bank,107450.71,818,131.36,637,168.68,77.7,4,Thursday,3,March,Q1,2025,11,False,37607.75,26862.68,21490.14,21490.14,15.0,Large
2025-03-13,BNK002,Community First Bank,72926.04,867,84.11,745,97.89,96.8,4,Thursday,3,March,Q1,2025,11,False,25524.11,18231.51,14585.21,14585.21,20.0,Medium
2025-03-13,BNK003,Metro Financial,83726.52,901,92.93,622,134.61,96.2,4,Thursday,3,March,Q1,2025,11,False,29304.28,20931.63,16745.3,16745.3,12.0,Large
2025-03-13,BNK004,Regional Trust Bank,52122.45,472,110.43,324,160.87,96.9,4,Thursday,3,March,Q1,2025,11,False,18242.86,13030.61,10424.49,10424.49,25.0,Medium
2025-03-13,BNK005,Digital Banking Corp,101524.69,960,105.75,707,143.6,98.3,4,Thursday,3,March,Q1,2025,11,False,25381.17,25381.17,20304.94,30457.41,18.0,Large
2025-03-13,BNK006,Heritage Bank,37030.37,394,93.99,297,124.68,96.7,4,Thursday,3,March,Q1,2025,11,False,12960.63,12960.63,7406.07,3703.04,10.0,Small
2025-03-13,BNK007,Innovation Bank,82151.06,893,91.99,553,148.56,91.4,4,Thursday,3,March,Q1,2025,11,False,28752.87,20537.76,16430.21,16430.21,22.0,Large
2025-03-14,BNK001,Premier Bank,110722.16,810,136.69,560,197.72,86.6,5,Friday,3,March,Q1,2025,11,False,38752.76,27680.54,22144.43,22144.43,15.0,Large
2025-03-14,BNK002,Community First Bank,71612.06,624,114.76,380,188.45,99.3,5,Friday,3,March,Q1,2025,11,False,25064.22,17903.02,14322.41,14322.41,20.0,Medium
2025-03-14,BNK003,Metro Financial,105903.65,1079,98.15,861,123.0,94.5,5,Friday,3,March,Q1,2025,11,False,37066.28,26475.91,21180.73,21180.73,12.0,Large
2025-03-14,BNK004,Regional Trust Bank,122009.63,1312,93.0,1168,104.46,91.0,5,Friday,3,March,Q1,2025,11,False,42703.37,30502.41,24401.93,24401.93,25.0,Medium
2025-03-14,BNK005,Digital Banking Corp,160360.88,1124,142.67,876,183.06,99.4,5,Friday,3,March,Q1,2025,11,False,40090.22,40090.22,32072.18,48108.26,18.0,Large
2025-03-14,BNK006,Heritage Bank,47444.89,442,107.34,301,157.62,98.6,5,Friday,3,March,Q1,2025,11,False,16605.71,16605.71,9488.98,4744.49,10.0,Small
2025-03-14,BNK007,Innovation Bank,89640.69,853,105.09,583,153.76,96.3,5,Friday,3,March,Q1,2025,11,False,31374.24,22410.17,17928.14,17928.14,22.0,Large
2025-03-15,BNK001,Premier Bank,62916.76,738,85.25,661,95.18,98.2,6,Saturday,3,March,Q1,2025,11,True,22020.86,15729.19,12583.35,12583.35,15.0,Large
2025-03-15,BNK002,Community First Bank,41534.26,442,93.97,265,156.73,98.5,6,Saturday,3,March,Q1,2025,11,True,14536.99,10383.56,8306.85,8306.85,20.0,Medium
2025-03-15,BNK003,Metro Financial,60680.88,452,134.25,281,215.95,77.0,6,Saturday,3,March,Q1,2025,11,True,21238.31,15170.22,12136.18,12136.18,12.0,Large
2025-03-15,BNK004,Regional Trust Bank,44381.52,316,140.45,248,178.96,94.6,6,Saturday,3,March,Q1,2025,11,True,15533.53,11095.38,8876.3,8876.3,25.0,Medium
2025-03-15,BNK005,Digital Banking Corp,63888.54,621,102.88,508,125.76,97.1,6,Saturday,3,March,Q1,2025,11,True,15972.14,15972.14,12777.71,19166.56,18.0,Large
2025-03-15,BNK006,Heritage Bank,23015.08,161,142.95,119,193.4,93.0,6,Saturday,3,March,Q1,2025,11,True,8055.28,8055.28,4603.02,2301.51,10.0,Small
2025-03-15,BNK007,Innovation Bank,58274.49,488,119.41,405,143.89,96.0,6,Saturday,3,March,Q1,2025,11,True,20396.07,14568.62,11654.9,11654.9,22.0,Large
2025-03-16,BNK001,Premier Bank,33580.18,288,116.6,209,160.67,92.2,7,Sunday,3,March,Q1,2025,11,True,11753.06,8395.04,6716.04,6716.04,15.0,Large
2025-03-16,BNK002,Community First Bank,16115.62,139,115.94,121,133.19,82.0,7,Sunday,3,March,Q1,2025,11,True,5640.47,4028.91,3223.12,3223.12,20.0,Medium
2025-03-16,BNK003,Metro Financial,30377.67,228,133.24,152,199.85,79.9,7,Sunday,3,March,Q1,2025,11,True,10632.19,7594.42,6075.53,6075.53,12.0,Large
2025-03-16,BNK004,Regional Trust Bank,20256.52,143,141.65,120,168.8,93.5,7,Sunday,3,March,Q1,2025,11,True,7089.78,5064.13,4051.3,4051.3,25.0,Medium
2025-03-16,BNK005,Digital Banking Corp,39879.63,279,142.94,212,188.11,98.5,7,Sunday,3,March,Q1,2025,11,True,9969.91,9969.91,7975.93,11963.89,18.0,Large
2025-03-16,BNK006,Heritage Bank,11628.85,132,88.1,88,132.15,95.4,7,Sunday,3,March,Q1,2025,11,True,4070.1,4070.1,2325.77,1162.89,10.0,Small
2025-03-16,BNK007,Innovation Bank,27554.1,200,137.77,171,161.14,92.1,7,Sunday,3,March,Q1,2025,11,True,9643.94,6888.53,5510.82,5510.82,22.0,Large
2025-03-17,BNK001,Premier Bank,60172.36,629,95.66,400,150.43,94.7,1,Monday,3,March,Q1,2025,12,False,21060.33,15043.09,12034.47,12034.47,15.0,Large
2025-03-17,BNK002,Community First Bank,80182.77,549,146.05,382,209.9,96.2,1,Monday,3,March,Q1,2025,12,False,28063.97,20045.69,16036.55,16036.55,20.0,Medium
2025-03-17,BNK003,Metro Financial,79814.99,539,148.08,479,166.63,94.0,1,Monday,3,March,Q1,2025,12,False,27935.25,19953.75,15963.0,15963.0,12.0,Large
2025-03-17,BNK004,Regional Trust Bank,81059.38,706,114.81,487,166.45,94.3,1,Monday,3,March,Q1,2025,12,False,28370.78,20264.85,16211.88,16211.88,25.0,Medium
2025-03-17,BNK005,Digital Banking Corp,112026.48,972,115.25,598,187.34,94.2,1,Monday,3,March,Q1,2025,12,False,28006.62,28006.62,22405.3,33607.95,18.0,Large
2025-03-17,BNK006,Heritage Bank,38269.56,266,143.87,178,215.0,93.2,1,Monday,3,March,Q1,2025,12,False,13394.35,13394.35,7653.91,3826.96,10.0,Small
2025-03-17,BNK007,Innovation Bank,85980.85,886,97.04,710,121.1,98.1,1,Monday,3,March,Q1,2025,12,False,30093.3,21495.21,17196.17,17196.17,22.0,Large
2025-03-18,BNK001,Premier Bank,99889.3,1033,96.7,845,118.21,85.7,2,Tuesday,3,March,Q1,2025,12,False,34961.25,24972.32,19977.86,19977.86,15.0,Large
2025-03-18,BNK002,Community First Bank,83802.86,970,86.39,825,101.58,94.6,2,Tuesday,3,March,Q1,2025,12,False,29331.0,20950.71,16760.57,16760.57,20.0,Medium
2025-03-18,BNK003,Metro Financial,113656.92,1221,93.09,747,152.15,96.7,2,Tuesday,3,March,Q1,2025,12,False,39779.92,28414.23,22731.38,22731.38,12.0,Large
2025-03-18,BNK004,Regional Trust Bank,36740.05,293,125.39,191,192.36,81.6,2,Tuesday,3,March,Q1,2025,12,False,12859.02,9185.01,7348.01,7348.01,25.0,Medium
